	infinitive	infinitive_english	mood	mood_english	tense	tense_english	verb_english	form_1s	form_2s	form_3s	form_1p	form_2p	form_3p	gerund	gerund_english	pastparticiple	pastparticiple_english	importance
0	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Presente	Present	I abandon, am abandoning	abandono	abandonas	abandona	abandonamos	abandonáis	abandonan	abandonando	abandoning	abandonado	abandoned	[255]
1	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Futuro	Future	I will abandon	abandonaré	abandonarás	abandonará	abandonaremos	abandonaréis	abandonarán	abandonando	abandoning	abandonado	abandoned	[255]
2	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Imperfecto	Imperfect	I was abandoning, used to abandon, abandoned	abandonaba	abandonabas	abandonaba	abandonábamos	abandonabais	abandonaban	abandonando	abandoning	abandonado	abandoned	[255]
3	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Pretérito	Preterite	I abandoned	abandoné	abandonaste	abandonó	abandonamos	abandonasteis	abandonaron	abandonando	abandoning	abandonado	abandoned	[255]
4	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Condicional	Conditional	I would abandon	abandonaría	abandonarías	abandonaría	abandonaríamos	abandonaríais	abandonarían	abandonando	abandoning	abandonado	abandoned	[255]
5	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Presente perfecto	Present Perfect	I have abandoned	he abandonado	has abandonado	ha abandonado	hemos abandonado	habéis abandonado	han abandonado	abandonando	abandoning	abandonado	abandoned	[255]
6	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have abandoned	habré abandonado	habrás abandonado	habrá abandonado	habremos abandonado	habréis abandonado	habrán abandonado	abandonando	abandoning	abandonado	abandoned	[255]
7	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had abandoned	había abandonado	habías abandonado	había abandonado	habíamos abandonado	habíais abandonado	habían abandonado	abandonando	abandoning	abandonado	abandoned	[255]
8	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had abandoned	hube abandonado	hubiste abandonado	hubo abandonado	hubimos abandonado	hubisteis abandonado	hubieron abandonado	abandonando	abandoning	abandonado	abandoned	[255]
9	abandonar	to abandon, leave behind, desert; to quit, give up	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have abandoned	habría abandonado	habrías abandonado	habría abandonado	habríamos abandonado	habríais abandonado	habrían abandonado	abandonando	abandoning	abandonado	abandoned	[255]
10	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Presente	Present	I abandon, am abandoning	abandone	abandones	abandone	abandonemos	abandonéis	abandonen	abandonando	abandoning	abandonado	abandoned	[255]
11	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I abandoned, was abandoning	abandonara	abandonaras	abandonara	abandonáramos	abandonarais	abandonaran	abandonando	abandoning	abandonado	abandoned	[255]
12	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Futuro	Future	I will abandon	abandonare	abandonares	abandonare	abandonáremos	abandonareis	abandonaren	abandonando	abandoning	abandonado	abandoned	[255]
13	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have abandoned, abandoned	haya abandonado	hayas abandonado	haya abandonado	hayamos abandonado	hayáis abandonado	hayan abandonado	abandonando	abandoning	abandonado	abandoned	[255]
14	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have abandoned	hubiere abandonado	hubieres abandonado	hubiere abandonado	hubiéremos abandonado	hubiereis abandonado	hubieren abandonado	abandonando	abandoning	abandonado	abandoned	[255]
15	abandonar	to abandon, leave behind, desert; to quit, give up	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had abandoned	hubiera abandonado	hubieras abandonado	hubiera abandonado	hubiéramos abandonado	hubierais abandonado	hubieran abandonado	abandonando	abandoning	abandonado	abandoned	[255]
16	abandonar	to abandon, leave behind, desert; to quit, give up	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Abandon! Don't abandon!		abandona	abandonad		abandone	abandonen	abandonando	abandoning	abandonado	abandoned	[255]
17	abandonar	to abandon, leave behind, desert; to quit, give up	Imperativo Negativo	Imperative Negative	Presente	Present	Abandon! Don't abandon!		no abandones	no abandonéis		no abandone	no abandonen	abandonando	abandoning	abandonado	abandoned	[255]
18	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Presente	Present	I board, am boarding	abordo	abordas	aborda	abordamos	abordáis	abordan	abordando	boarding	abordado	boarded	[255]
19	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Futuro	Future	I will board	abordaré	abordarás	abordará	abordaremos	abordaréis	abordarán	abordando	boarding	abordado	boarded	[255]
20	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Imperfecto	Imperfect	I was boarding, used to board, boarded	abordaba	abordabas	abordaba	abordábamos	abordabais	abordaban	abordando	boarding	abordado	boarded	[255]
21	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Pretérito	Preterite	I boarded	abordé	abordaste	abordó	abordamos	abordasteis	abordaron	abordando	boarding	abordado	boarded	[255]
22	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Condicional	Conditional	I would board	abordaría	abordarías	abordaría	abordaríamos	abordaríais	abordarían	abordando	boarding	abordado	boarded	[255]
23	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Presente perfecto	Present Perfect	I have boarded	he abordado	has abordado	ha abordado	hemos abordado	habéis abordado	han abordado	abordando	boarding	abordado	boarded	[255]
24	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have boarded	habré abordado	habrás abordado	habrá abordado	habremos abordado	habréis abordado	habrán abordado	abordando	boarding	abordado	boarded	[255]
25	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had boarded	había abordado	habías abordado	había abordado	habíamos abordado	habíais abordado	habían abordado	abordando	boarding	abordado	boarded	[255]
26	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had boarded	hube abordado	hubiste abordado	hubo abordado	hubimos abordado	hubisteis abordado	hubieron abordado	abordando	boarding	abordado	boarded	[255]
27	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have boarded	habría abordado	habrías abordado	habría abordado	habríamos abordado	habríais abordado	habrían abordado	abordando	boarding	abordado	boarded	[255]
28	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Presente	Present	I board, am boarding	aborde	abordes	aborde	abordemos	abordéis	aborden	abordando	boarding	abordado	boarded	[255]
29	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I boarded, was boarding	abordara	abordaras	abordara	abordáramos	abordarais	abordaran	abordando	boarding	abordado	boarded	[255]
30	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Futuro	Future	I will board	abordare	abordares	abordare	abordáremos	abordareis	abordaren	abordando	boarding	abordado	boarded	[255]
31	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have boarded, boarded	haya abordado	hayas abordado	haya abordado	hayamos abordado	hayáis abordado	hayan abordado	abordando	boarding	abordado	boarded	[255]
32	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have boarded	hubiere abordado	hubieres abordado	hubiere abordado	hubiéremos abordado	hubiereis abordado	hubieren abordado	abordando	boarding	abordado	boarded	[255]
33	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had boarded	hubiera abordado	hubieras abordado	hubiera abordado	hubiéramos abordado	hubierais abordado	hubieran abordado	abordando	boarding	abordado	boarded	[255]
34	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Board! Don't board!		aborda	abordad		aborde	aborden	abordando	boarding	abordado	boarded	[255]
35	abordar	to board, get on [plane, bus, etc.]; to approach, accost [a person]	Imperativo Negativo	Imperative Negative	Presente	Present	Board! Don't board!		no abordes	no abordéis		no aborde	no aborden	abordando	boarding	abordado	boarded	[255]
36	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Presente	Present	I abort, am aborting	aborto	abortas	aborta	abortamos	abortáis	abortan	abortando	aborting	abortado	aborted	[255]
37	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Futuro	Future	I will abort	abortaré	abortarás	abortará	abortaremos	abortaréis	abortarán	abortando	aborting	abortado	aborted	[255]
38	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Imperfecto	Imperfect	I was aborting, used to abort, aborted	abortaba	abortabas	abortaba	abortábamos	abortabais	abortaban	abortando	aborting	abortado	aborted	[255]
39	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Pretérito	Preterite	I aborted	aborté	abortaste	abortó	abortamos	abortasteis	abortaron	abortando	aborting	abortado	aborted	[255]
40	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Condicional	Conditional	I would abort	abortaría	abortarías	abortaría	abortaríamos	abortaríais	abortarían	abortando	aborting	abortado	aborted	[255]
41	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Presente perfecto	Present Perfect	I have aborted	he abortado	has abortado	ha abortado	hemos abortado	habéis abortado	han abortado	abortando	aborting	abortado	aborted	[255]
42	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have aborted	habré abortado	habrás abortado	habrá abortado	habremos abortado	habréis abortado	habrán abortado	abortando	aborting	abortado	aborted	[255]
43	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had aborted	había abortado	habías abortado	había abortado	habíamos abortado	habíais abortado	habían abortado	abortando	aborting	abortado	aborted	[255]
44	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had aborted	hube abortado	hubiste abortado	hubo abortado	hubimos abortado	hubisteis abortado	hubieron abortado	abortando	aborting	abortado	aborted	[255]
45	abortar	to abort, cause to miscarry; to have a miscarriage	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have aborted	habría abortado	habrías abortado	habría abortado	habríamos abortado	habríais abortado	habrían abortado	abortando	aborting	abortado	aborted	[255]
46	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Presente	Present	I abort, am aborting	aborte	abortes	aborte	abortemos	abortéis	aborten	abortando	aborting	abortado	aborted	[255]
47	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I aborted, was aborting	abortara	abortaras	abortara	abortáramos	abortarais	abortaran	abortando	aborting	abortado	aborted	[255]
48	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Futuro	Future	I will abort	abortare	abortares	abortare	abortáremos	abortareis	abortaren	abortando	aborting	abortado	aborted	[255]
49	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have aborted, aborted	haya abortado	hayas abortado	haya abortado	hayamos abortado	hayáis abortado	hayan abortado	abortando	aborting	abortado	aborted	[255]
50	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have aborted	hubiere abortado	hubieres abortado	hubiere abortado	hubiéremos abortado	hubiereis abortado	hubieren abortado	abortando	aborting	abortado	aborted	[255]
51	abortar	to abort, cause to miscarry; to have a miscarriage	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had aborted	hubiera abortado	hubieras abortado	hubiera abortado	hubiéramos abortado	hubierais abortado	hubieran abortado	abortando	aborting	abortado	aborted	[255]
52	abortar	to abort, cause to miscarry; to have a miscarriage	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Abort! Don't abort!		aborta	abortad		aborte	aborten	abortando	aborting	abortado	aborted	[255]
53	abortar	to abort, cause to miscarry; to have a miscarriage	Imperativo Negativo	Imperative Negative	Presente	Present	Abort! Don't abort!		no abortes	no abortéis		no aborte	no aborten	abortando	aborting	abortado	aborted	[255]
54	abrazar	to hug, embrace	Indicativo	Indicative	Presente	Present	I hug, am hugging	abrazo	abrazas	abraza	abrazamos	abrazáis	abrazan	abrazando	hugging	abrazado	hugged	[255]
55	abrazar	to hug, embrace	Indicativo	Indicative	Futuro	Future	I will hug	abrazaré	abrazarás	abrazará	abrazaremos	abrazaréis	abrazarán	abrazando	hugging	abrazado	hugged	[255]
56	abrazar	to hug, embrace	Indicativo	Indicative	Imperfecto	Imperfect	I was hugging, used to hug, hugged	abrazaba	abrazabas	abrazaba	abrazábamos	abrazabais	abrazaban	abrazando	hugging	abrazado	hugged	[255]
57	abrazar	to hug, embrace	Indicativo	Indicative	Pretérito	Preterite	I hugged	abracé	abrazaste	abrazó	abrazamos	abrazasteis	abrazaron	abrazando	hugging	abrazado	hugged	[255]
58	abrazar	to hug, embrace	Indicativo	Indicative	Condicional	Conditional	I would hug	abrazaría	abrazarías	abrazaría	abrazaríamos	abrazaríais	abrazarían	abrazando	hugging	abrazado	hugged	[255]
59	abrazar	to hug, embrace	Indicativo	Indicative	Presente perfecto	Present Perfect	I have hugged	he abrazado	has abrazado	ha abrazado	hemos abrazado	habéis abrazado	han abrazado	abrazando	hugging	abrazado	hugged	[255]
60	abrazar	to hug, embrace	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have hugged	habré abrazado	habrás abrazado	habrá abrazado	habremos abrazado	habréis abrazado	habrán abrazado	abrazando	hugging	abrazado	hugged	[255]
61	abrazar	to hug, embrace	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had hugged	había abrazado	habías abrazado	había abrazado	habíamos abrazado	habíais abrazado	habían abrazado	abrazando	hugging	abrazado	hugged	[255]
62	abrazar	to hug, embrace	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had hugged	hube abrazado	hubiste abrazado	hubo abrazado	hubimos abrazado	hubisteis abrazado	hubieron abrazado	abrazando	hugging	abrazado	hugged	[255]
63	abrazar	to hug, embrace	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have hugged	habría abrazado	habrías abrazado	habría abrazado	habríamos abrazado	habríais abrazado	habrían abrazado	abrazando	hugging	abrazado	hugged	[255]
64	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Presente	Present	I hug, am hugging	abrace	abraces	abrace	abracemos	abracéis	abracen	abrazando	hugging	abrazado	hugged	[255]
65	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I hugged, was hugging	abrazara	abrazaras	abrazara	abrazáramos	abrazarais	abrazaran	abrazando	hugging	abrazado	hugged	[255]
66	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Futuro	Future	I will hug	abrazare	abrazares	abrazare	abrazáremos	abrazareis	abrazaren	abrazando	hugging	abrazado	hugged	[255]
67	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have hugged, hugged	haya abrazado	hayas abrazado	haya abrazado	hayamos abrazado	hayáis abrazado	hayan abrazado	abrazando	hugging	abrazado	hugged	[255]
68	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have hugged	hubiere abrazado	hubieres abrazado	hubiere abrazado	hubiéremos abrazado	hubiereis abrazado	hubieren abrazado	abrazando	hugging	abrazado	hugged	[255]
69	abrazar	to hug, embrace	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had hugged	hubiera abrazado	hubieras abrazado	hubiera abrazado	hubiéramos abrazado	hubierais abrazado	hubieran abrazado	abrazando	hugging	abrazado	hugged	[255]
70	abrazar	to hug, embrace	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Hug! Don't hug!		abraza	abrazad		abrace	abracen	abrazando	hugging	abrazado	hugged	[255]
71	abrazar	to hug, embrace	Imperativo Negativo	Imperative Negative	Presente	Present	Hug! Don't hug!		no abraces	no abracéis		no abrace	no abracen	abrazando	hugging	abrazado	hugged	[255]
72	abrir	to open	Indicativo	Indicative	Presente	Present	I open, am opening	abro	abres	abre	abrimos	abrís	abren	abriendo	opening	abierto	opened	[44]
73	abrir	to open	Indicativo	Indicative	Futuro	Future	I will open	abriré	abrirás	abrirá	abriremos	abriréis	abrirán	abriendo	opening	abierto	opened	[44]
74	abrir	to open	Indicativo	Indicative	Imperfecto	Imperfect	I was opening, used to open, opened	abría	abrías	abría	abríamos	abríais	abrían	abriendo	opening	abierto	opened	[44]
75	abrir	to open	Indicativo	Indicative	Pretérito	Preterite	I opened	abrí	abriste	abrió	abrimos	abristeis	abrieron	abriendo	opening	abierto	opened	[44]
76	abrir	to open	Indicativo	Indicative	Condicional	Conditional	I would open	abriría	abrirías	abriría	abriríamos	abriríais	abrirían	abriendo	opening	abierto	opened	[44]
77	abrir	to open	Indicativo	Indicative	Presente perfecto	Present Perfect	I have opened	he abierto	has abierto	ha abierto	hemos abierto	habéis abierto	han abierto	abriendo	opening	abierto	opened	[44]
78	abrir	to open	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have opened	habré abierto	habrás abierto	habrá abierto	habremos abierto	habréis abierto	habrán abierto	abriendo	opening	abierto	opened	[44]
79	abrir	to open	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had opened	había abierto	habías abierto	había abierto	habíamos abierto	habíais abierto	habían abierto	abriendo	opening	abierto	opened	[44]
80	abrir	to open	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had opened	hube abierto	hubiste abierto	hubo abierto	hubimos abierto	hubisteis abierto	hubieron abierto	abriendo	opening	abierto	opened	[44]
81	abrir	to open	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have opened	habría abierto	habrías abierto	habría abierto	habríamos abierto	habríais abierto	habrían abierto	abriendo	opening	abierto	opened	[44]
82	abrir	to open	Subjuntivo	Subjunctive	Presente	Present	I open, am opening	abra	abras	abra	abramos	abráis	abran	abriendo	opening	abierto	opened	[44]
83	abrir	to open	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I opened, was opening	abriera	abrieras	abriera	abriéramos	abrierais	abrieran	abriendo	opening	abierto	opened	[44]
84	abrir	to open	Subjuntivo	Subjunctive	Futuro	Future	I will open	abriere	abrieres	abriere	abriéremos	abriereis	abrieren	abriendo	opening	abierto	opened	[44]
85	abrir	to open	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have opened, opened	haya abierto	hayas abierto	haya abierto	hayamos abierto	hayáis abierto	hayan abierto	abriendo	opening	abierto	opened	[44]
86	abrir	to open	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have opened	hubiere abierto	hubieres abierto	hubiere abierto	hubiéremos abierto	hubiereis abierto	hubieren abierto	abriendo	opening	abierto	opened	[44]
87	abrir	to open	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had opened	hubiera abierto	hubieras abierto	hubiera abierto	hubiéramos abierto	hubierais abierto	hubieran abierto	abriendo	opening	abierto	opened	[44]
88	abrir	to open	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Open! Don't open!		abre	abrid		abra	abran	abriendo	opening	abierto	opened	[44]
89	abrir	to open	Imperativo Negativo	Imperative Negative	Presente	Present	Open! Don't open!		no abras	no abráis		no abra	no abran	abriendo	opening	abierto	opened	[44]
90	aburrir	to bore; to tire, weary	Indicativo	Indicative	Presente	Present	I bore, am boring	aburro	aburres	aburre	aburrimos	aburrís	aburren	aburriendo	boring	aburrido	bored	[255]
91	aburrir	to bore; to tire, weary	Indicativo	Indicative	Futuro	Future	I will bore	aburriré	aburrirás	aburrirá	aburriremos	aburriréis	aburrirán	aburriendo	boring	aburrido	bored	[255]
92	aburrir	to bore; to tire, weary	Indicativo	Indicative	Imperfecto	Imperfect	I was boring, used to bore, bored	aburría	aburrías	aburría	aburríamos	aburríais	aburrían	aburriendo	boring	aburrido	bored	[255]
93	aburrir	to bore; to tire, weary	Indicativo	Indicative	Pretérito	Preterite	I bored	aburrí	aburriste	aburrió	aburrimos	aburristeis	aburrieron	aburriendo	boring	aburrido	bored	[255]
94	aburrir	to bore; to tire, weary	Indicativo	Indicative	Condicional	Conditional	I would bore	aburriría	aburrirías	aburriría	aburriríamos	aburriríais	aburrirían	aburriendo	boring	aburrido	bored	[255]
95	aburrir	to bore; to tire, weary	Indicativo	Indicative	Presente perfecto	Present Perfect	I have bored	he aburrido	has aburrido	ha aburrido	hemos aburrido	habéis aburrido	han aburrido	aburriendo	boring	aburrido	bored	[255]
96	aburrir	to bore; to tire, weary	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have bored	habré aburrido	habrás aburrido	habrá aburrido	habremos aburrido	habréis aburrido	habrán aburrido	aburriendo	boring	aburrido	bored	[255]
97	aburrir	to bore; to tire, weary	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had bored	había aburrido	habías aburrido	había aburrido	habíamos aburrido	habíais aburrido	habían aburrido	aburriendo	boring	aburrido	bored	[255]
98	aburrir	to bore; to tire, weary	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had bored	hube aburrido	hubiste aburrido	hubo aburrido	hubimos aburrido	hubisteis aburrido	hubieron aburrido	aburriendo	boring	aburrido	bored	[255]
99	aburrir	to bore; to tire, weary	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have bored	habría aburrido	habrías aburrido	habría aburrido	habríamos aburrido	habríais aburrido	habrían aburrido	aburriendo	boring	aburrido	bored	[255]
100	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Presente	Present	I bore, am boring	aburra	aburras	aburra	aburramos	aburráis	aburran	aburriendo	boring	aburrido	bored	[255]
101	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I bored, was boring	aburriera	aburrieras	aburriera	aburriéramos	aburrierais	aburrieran	aburriendo	boring	aburrido	bored	[255]
102	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Futuro	Future	I will bore	aburriere	aburrieres	aburriere	aburriéremos	aburriereis	aburrieren	aburriendo	boring	aburrido	bored	[255]
103	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have bored, bored	haya aburrido	hayas aburrido	haya aburrido	hayamos aburrido	hayáis aburrido	hayan aburrido	aburriendo	boring	aburrido	bored	[255]
104	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have bored	hubiere aburrido	hubieres aburrido	hubiere aburrido	hubiéremos aburrido	hubiereis aburrido	hubieren aburrido	aburriendo	boring	aburrido	bored	[255]
105	aburrir	to bore; to tire, weary	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had bored	hubiera aburrido	hubieras aburrido	hubiera aburrido	hubiéramos aburrido	hubierais aburrido	hubieran aburrido	aburriendo	boring	aburrido	bored	[255]
106	aburrir	to bore; to tire, weary	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Bore! Don't bore!		aburre	aburrid		aburra	aburran	aburriendo	boring	aburrido	bored	[255]
107	aburrir	to bore; to tire, weary	Imperativo Negativo	Imperative Negative	Presente	Present	Bore! Don't bore!		no aburras	no aburráis		no aburra	no aburran	aburriendo	boring	aburrido	bored	[255]
108	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Presente	Present	I get bored, am getting bored	me aburro	te aburres	se aburre	nos aburrimos	os aburrís	se aburren	aburriéndose	getting bored	aburrido	bored	[255]
109	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Futuro	Future	I will get bored	me aburriré	te aburrirás	se aburrirá	nos aburriremos	os aburriréis	se aburrirán	aburriéndose	getting bored	aburrido	bored	[255]
110	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Imperfecto	Imperfect	I was getting bored, used to get bored, got bored	me aburría	te aburrías	se aburría	nos aburríamos	os aburríais	se aburrían	aburriéndose	getting bored	aburrido	bored	[255]
111	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Pretérito	Preterite	I got bored	me aburrí	te aburriste	se aburrió	nos aburrimos	os aburristeis	se aburrieron	aburriéndose	getting bored	aburrido	bored	[255]
112	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Condicional	Conditional	I would get bored	me aburriría	te aburrirías	se aburriría	nos aburriríamos	os aburriríais	se aburrirían	aburriéndose	getting bored	aburrido	bored	[255]
113	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Presente perfecto	Present Perfect	I have gotten bored	me he aburrido	te has aburrido	se ha aburrido	nos hemos aburrido	os habéis aburrido	se han aburrido	aburriéndose	getting bored	aburrido	bored	[255]
114	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have gotten bored	me habré aburrido	te habrás aburrido	se habrá aburrido	nos habremos aburrido	os habréis aburrido	se habrán aburrido	aburriéndose	getting bored	aburrido	bored	[255]
115	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had gotten bored	me había aburrido	te habías aburrido	se había aburrido	nos habíamos aburrido	os habíais aburrido	se habían aburrido	aburriéndose	getting bored	aburrido	bored	[255]
116	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had gotten bored	me hube aburrido	te hubiste aburrido	se hubo aburrido	nos hubimos aburrido	os hubisteis aburrido	se hubieron aburrido	aburriéndose	getting bored	aburrido	bored	[255]
117	aburrirse	to get bored, become bored, be bored	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have gotten bored	me habría aburrido	te habrías aburrido	se habría aburrido	nos habríamos aburrido	os habríais aburrido	se habrían aburrido	aburriéndose	getting bored	aburrido	bored	[255]
118	aburrirse	to get bored, become bored, be bored	Subjuntivo	Subjunctive	Presente	Present	I get bored, am getting bored	me aburra	te aburras	se aburra	nos aburramos	os aburráis	se aburran	aburriéndose	getting bored	aburrido	bored	[255]
119	aburrirse	to get bored, become bored, be bored	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I got bored, was getting bored	me aburriera	te aburrieras	se aburriera	nos aburriéramos	os aburrierais	se aburrieran	aburriéndose	getting bored	aburrido	bored	[255]
120	aburrirse	to get bored, become bored, be bored	Subjuntivo	Subjunctive	Futuro	Future	I will get bored	me aburriere	te aburrieres	se aburriere	nos aburriéremos	os aburriereis	se aburrieren	aburriéndose	getting bored	aburrido	bored	[255]
121	aburrirse	to get bored, become bored, be bored	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have gotten bored, got bored	me haya aburrido	te hayas aburrido	se haya aburrido	nos hayamos aburrido	os hayáis aburrido	se hayan aburrido	aburriéndose	getting bored	aburrido	bored	[255]
